NP_250241.1|PA1550	96432ae5ac6425755c608d6b69f709f6	179	Pfam	PF05751	FixH	12	155	1.0E-38	T	05-02-2023	IPR008620	Nitrogen fixation protein FixH	-
NP_252499.1|PA3810	3e35ed66ee717e4d90ffb655078f6f91	619	FunFam	G3DSA:3.30.420.40:FF:000046	Chaperone protein HscA	22	205	4.4E-64	T	05-02-2023	-	-
NP_252499.1|PA3810	3e35ed66ee717e4d90ffb655078f6f91	619	CDD	cd10236	HscA_like_NBD	20	375	0.0	T	05-02-2023	IPR042039	HscA chaperone, nucleotide-binding domain	-
NP_252499.1|PA3810	3e35ed66ee717e4d90ffb655078f6f91	619	FunFam	G3DSA:2.60.34.10:FF:000005	Chaperone protein HscA homolog	380	519	2.1E-80	T	05-02-2023	-	-
NP_252499.1|PA3810	3e35ed66ee717e4d90ffb655078f6f91	619	PANTHER	PTHR19375	HEAT SHOCK PROTEIN 70KDA	21	548	7.9E-128	T	05-02-2023	IPR013126	Heat shock protein 70 family	GO:0005524|GO:0140662
NP_252499.1|PA3810	3e35ed66ee717e4d90ffb655078f6f91	619	SUPERFAMILY	SSF53067	Actin-like ATPase domain	19	197	1.72E-51	T	05-02-2023	IPR043129	ATPase, nucleotide binding domain	-
NP_252556.1|PA3867	44b975af9ef1c37e073b689feaea58e7	191	FunFam	G3DSA:3.40.50.1390:FF:000001	DNA recombinase	1	125	4.3E-54	T	05-02-2023	-	-
NP_252556.1|PA3867	44b975af9ef1c37e073b689feaea58e7	191	Pfam	PF02796	Helix-turn-helix domain of resolvase	138	180	6.7E-6	T	05-02-2023	IPR006120	Resolvase, HTH domain	GO:0000150|GO:0003677|GO:0006310
NP_252556.1|PA3867	44b975af9ef1c37e073b689feaea58e7	191	Pfam	PF00239	Resolvase, N terminal domain	3	135	3.9E-41	T	05-02-2023	IPR006119	Resolvase, N-terminal catalytic domain	GO:0000150|GO:0003677|GO:0006310
NP_252556.1|PA3867	44b975af9ef1c37e073b689feaea58e7	191	PANTHER	PTHR30461	DNA-INVERTASE FROM LAMBDOID PROPHAGE	3	141	8.2E-32	T	05-02-2023	-	-
NP_252556.1|PA3867	44b975af9ef1c37e073b689feaea58e7	191	SUPERFAMILY	SSF46689	Homeodomain-like	138	181	7.26E-6	T	05-02-2023	IPR009057	Homeobox-like domain superfamily	-
NP_252556.1|PA3867	44b975af9ef1c37e073b689feaea58e7	191	SUPERFAMILY	SSF53041	Resolvase-like	1	135	8.5E-41	T	05-02-2023	IPR036162	Resolvase-like, N-terminal catalytic domain superfamily	GO:0000150|GO:0003677|GO:0006310
NP_252556.1|PA3867	44b975af9ef1c37e073b689feaea58e7	191	CDD	cd03768	SR_ResInv	2	121	2.25731E-54	T	05-02-2023	-	-
NP_251359.1|PA2669	22cb7ce7ea13055bf1d3bebd569c7125	194	Pfam	PF10741	Type II secretion system (T2SS), protein M subtype b	88	175	5.8E-5	T	05-02-2023	IPR034756	Type II secretion system (T2SS), protein M subtype b	-
YP_008719779.1|PA4635a	fc722838f4533248afced06ee678610b	87	Pfam	PF09413	Putative prokaryotic signal transducing protein	1	63	9.1E-13	T	05-02-2023	IPR018551	Domain of unknown function DUF2007	-
YP_008719779.1|PA4635a	fc722838f4533248afced06ee678610b	87	SUPERFAMILY	SSF54913	GlnB-like	1	68	2.89E-5	T	05-02-2023	IPR011322	Nitrogen regulatory PII-like, alpha/beta	-
NP_249453.1|PA0762	86dda65e985ac48ceba67694921bb7c1	193	SUPERFAMILY	SSF88659	Sigma3 and sigma4 domains of RNA polymerase sigma factors	123	187	7.85E-18	T	05-02-2023	IPR013324	RNA polymerase sigma factor, region 3/4-like	-
NP_249453.1|PA0762	86dda65e985ac48ceba67694921bb7c1	193	PANTHER	PTHR43133	RNA POLYMERASE ECF-TYPE SIGMA FACTO	3	189	2.8E-47	T	05-02-2023	IPR039425	RNA polymerase sigma-70 like	-
NP_249453.1|PA0762	86dda65e985ac48ceba67694921bb7c1	193	FunFam	G3DSA:1.10.1740.10:FF:000001	RNA polymerase sigma factor	1	121	1.2E-65	T	05-02-2023	-	-
NP_249453.1|PA0762	86dda65e985ac48ceba67694921bb7c1	193	FunFam	G3DSA:1.10.10.10:FF:000043	RNA polymerase sigma factor	122	192	1.0E-39	T	05-02-2023	-	-
NP_249453.1|PA0762	86dda65e985ac48ceba67694921bb7c1	193	SUPERFAMILY	SSF88946	Sigma2 domain of RNA polymerase sigma factors	1	108	1.38E-32	T	05-02-2023	IPR013325	RNA polymerase sigma factor, region 2	GO:0003700|GO:0006352|GO:0006355
NP_249453.1|PA0762	86dda65e985ac48ceba67694921bb7c1	193	Pfam	PF08281	Sigma-70, region 4	132	181	3.1E-18	T	05-02-2023	IPR013249	RNA polymerase sigma factor 70, region 4 type 2	GO:0003677|GO:0003700|GO:0006352|GO:0006355|GO:0016987
NP_249453.1|PA0762	86dda65e985ac48ceba67694921bb7c1	193	CDD	cd06171	Sigma70_r4	132	182	6.40095E-13	T	05-02-2023	-	-
NP_249453.1|PA0762	86dda65e985ac48ceba67694921bb7c1	193	Pfam	PF04542	Sigma-70 region 2	25	92	1.1E-17	T	05-02-2023	IPR007627	RNA polymerase sigma-70 region 2	GO:0003700|GO:0006352|GO:0006355
NP_250861.1|PA2171	6d629ce4b25c4daf1de4a3888c38cfc4	156	PANTHER	PTHR35585	HHE DOMAIN PROTEIN (AFU_ORTHOLOGUE AFUA_4G00730)	1	155	1.9E-34	T	05-02-2023	-	-
NP_250861.1|PA2171	6d629ce4b25c4daf1de4a3888c38cfc4	156	Pfam	PF01814	Hemerythrin HHE cation binding domain	3	124	1.7E-17	T	05-02-2023	IPR012312	Hemerythrin-like	-
NP_252830.1|PA4141	b90cda05f83dd3aceb40da369a56fc94	99	Pfam	PF19180	Family of unknown function (DUF5862)	19	86	5.8E-21	T	05-02-2023	IPR043847	Domain of unknown function (DUF5862)	-
NP_251663.1|PA2973	068160e9a4c382249fddb310843a04db	326	Pfam	PF01343	Peptidase family S49	141	289	2.3E-35	T	05-02-2023	IPR002142	Peptidase S49	GO:0006508|GO:0008233
NP_251663.1|PA2973	068160e9a4c382249fddb310843a04db	326	CDD	cd07023	S49_Sppa_N_C	73	275	1.72907E-90	T	05-02-2023	IPR047272	Signal peptide peptidase A-like, C-terminal	-
NP_251663.1|PA2973	068160e9a4c382249fddb310843a04db	326	PANTHER	PTHR42987	PEPTIDASE S49	33	310	3.8E-79	T	05-02-2023	-	-
NP_251663.1|PA2973	068160e9a4c382249fddb310843a04db	326	SUPERFAMILY	SSF52096	ClpP/crotonase	54	275	4.52E-44	T	05-02-2023	IPR029045	ClpP/crotonase-like domain superfamily	-
NP_252089.1|PA3399	d16ba9260a3c6529cf5151beb1fb3802	113	Pfam	PF07119	Protein of unknown function (DUF1375)	48	99	9.1E-17	T	05-02-2023	IPR010780	Protein of unknown function DUF1375	-
YP_008719746.1|PA1643a	9d17b354a5928fe5cbbfb8fb25bbaebe	115	PANTHER	PTHR28620	CENTROMERE PROTEIN V	1	114	1.4E-27	T	05-02-2023	-	-
YP_008719746.1|PA1643a	9d17b354a5928fe5cbbfb8fb25bbaebe	115	SUPERFAMILY	SSF51316	Mss4-like	1	113	1.05E-28	T	05-02-2023	IPR011057	Mss4-like superfamily	-
YP_008719746.1|PA1643a	9d17b354a5928fe5cbbfb8fb25bbaebe	115	Pfam	PF04828	Glutathione-dependent formaldehyde-activating enzyme	25	105	3.2E-7	T	05-02-2023	IPR006913	CENP-V/GFA domain	GO:0016846
NP_248776.1|PA0086	10bf5f67caa12c5abce72987ad7beed1	281	Pfam	PF07024	ImpE protein	159	274	1.4E-43	T	05-02-2023	IPR009211	Type VI secretion system accessory component TagJ	-
NP_248776.1|PA0086	10bf5f67caa12c5abce72987ad7beed1	281	Pfam	PF14559	Tetratricopeptide repeat	26	82	2.6E-6	T	05-02-2023	-	-
NP_248776.1|PA0086	10bf5f67caa12c5abce72987ad7beed1	281	SUPERFAMILY	SSF144059	ImpE-like	23	278	9.55E-92	T	05-02-2023	-	-
NP_253393.1|PA4705	b84d89e736293cd523219dcfaca67edf	295	SUPERFAMILY	SSF159501	EreA/ChaN-like	35	280	7.32E-69	T	05-02-2023	-	-
NP_253393.1|PA4705	b84d89e736293cd523219dcfaca67edf	295	CDD	cd14727	ChanN-like	63	254	7.71083E-55	T	05-02-2023	IPR007314	Haem-binding uptake, Tiki superfamily, ChaN	-
NP_253393.1|PA4705	b84d89e736293cd523219dcfaca67edf	295	Pfam	PF04187	Haem-binding uptake, Tiki superfamily, ChaN	53	247	4.5E-43	T	05-02-2023	IPR007314	Haem-binding uptake, Tiki superfamily, ChaN	-
NP_254060.1|PA5373	bcb258619b72bc7f8c7a9df94a4ed2cb	490	FunFam	G3DSA:3.40.605.10:FF:000007	NAD/NADP-dependent betaine aldehyde dehydrogenase	11	283	7.8E-109	T	05-02-2023	-	-
NP_254060.1|PA5373	bcb258619b72bc7f8c7a9df94a4ed2cb	490	PANTHER	PTHR11699	ALDEHYDE DEHYDROGENASE-RELATED	7	482	0.0	T	05-02-2023	-	-
NP_254060.1|PA5373	bcb258619b72bc7f8c7a9df94a4ed2cb	490	FunFam	G3DSA:3.40.309.10:FF:000014	NAD/NADP-dependent betaine aldehyde dehydrogenase	255	448	2.5E-109	T	05-02-2023	-	-
NP_254060.1|PA5373	bcb258619b72bc7f8c7a9df94a4ed2cb	490	SUPERFAMILY	SSF53720	ALDH-like	5	483	0.0	T	05-02-2023	IPR016161	Aldehyde/histidinol dehydrogenase	GO:0016491
NP_254060.1|PA5373	bcb258619b72bc7f8c7a9df94a4ed2cb	490	Pfam	PF00171	Aldehyde dehydrogenase family	16	479	0.0	T	05-02-2023	IPR015590	Aldehyde dehydrogenase domain	GO:0016491
NP_254060.1|PA5373	bcb258619b72bc7f8c7a9df94a4ed2cb	490	CDD	cd07090	ALDH_F9_TMBADH	26	484	0.0	T	05-02-2023	-	-
NP_249311.1|PA0620	47578447f86dc77e8af98282a12231cb	691	PANTHER	PTHR35191	PROPHAGE SIDE TAIL FIBER PROTEIN HOMOLOG STFQ-RELATED	1	690	0.0	T	05-02-2023	-	-
NP_249311.1|PA0620	47578447f86dc77e8af98282a12231cb	691	Pfam	PF12571	Phage tail-collar fibre protein	7	158	8.4E-48	T	05-02-2023	IPR022225	Phage tail fibre protein	-
NP_249311.1|PA0620	47578447f86dc77e8af98282a12231cb	691	CDD	cd19958	pyocin_knob	451	529	3.64321E-22	T	05-02-2023	-	-
NP_249311.1|PA0620	47578447f86dc77e8af98282a12231cb	691	CDD	cd19958	pyocin_knob	360	440	5.78632E-8	T	05-02-2023	-	-
NP_251554.1|PA2864	1ef84922c660fd95a85b2b6f8cf53cc6	144	Pfam	PF07681	DoxX	17	103	4.5E-21	T	05-02-2023	IPR032808	DoxX family	-
NP_251554.1|PA2864	1ef84922c660fd95a85b2b6f8cf53cc6	144	PANTHER	PTHR33452	OXIDOREDUCTASE CATD-RELATED	11	142	3.0E-36	T	05-02-2023	-	-
NP_249572.1|PA0881	3d10044fbdf27887bc96698acd57a336	450	Pfam	PF03972	MmgE/PrpD N-terminal domain	6	248	2.3E-73	T	05-02-2023	IPR045336	MmgE/PrpD, N-terminal	-
NP_249572.1|PA0881	3d10044fbdf27887bc96698acd57a336	450	PANTHER	PTHR16943	2-METHYLCITRATE DEHYDRATASE-RELATED	3	444	3.0E-103	T	05-02-2023	IPR005656	MmgE/PrpD	GO:0016829
NP_249572.1|PA0881	3d10044fbdf27887bc96698acd57a336	450	SUPERFAMILY	SSF103378	2-methylcitrate dehydratase PrpD	2	446	4.97E-122	T	05-02-2023	IPR036148	MmgE/PrpD superfamily	GO:0016829
NP_249572.1|PA0881	3d10044fbdf27887bc96698acd57a336	450	Pfam	PF19305	MmgE/PrpD C-terminal domain	268	439	2.7E-45	T	05-02-2023	IPR045337	MmgE/PrpD, C-terminal	-
NP_249051.1|PA0360	323168f3e463f1b1f98f37f012f1ce8d	328	PANTHER	PTHR43628	ACTIVATOR OF C KINASE PROTEIN 1-RELATED	52	167	1.7E-43	T	05-02-2023	-	-
NP_249051.1|PA0360	323168f3e463f1b1f98f37f012f1ce8d	328	SUPERFAMILY	SSF81901	HCP-like	52	177	2.49E-30	T	05-02-2023	-	-
NP_249051.1|PA0360	323168f3e463f1b1f98f37f012f1ce8d	328	Pfam	PF08238	Sel1 repeat	129	164	2.1E-7	T	05-02-2023	IPR006597	Sel1-like repeat	-
NP_249051.1|PA0360	323168f3e463f1b1f98f37f012f1ce8d	328	Pfam	PF08238	Sel1 repeat	201	216	0.022	T	05-02-2023	IPR006597	Sel1-like repeat	-
NP_249051.1|PA0360	323168f3e463f1b1f98f37f012f1ce8d	328	Pfam	PF08238	Sel1 repeat	217	251	2.7E-4	T	05-02-2023	IPR006597	Sel1-like repeat	-
NP_249051.1|PA0360	323168f3e463f1b1f98f37f012f1ce8d	328	Pfam	PF08238	Sel1 repeat	94	128	1.2E-9	T	05-02-2023	IPR006597	Sel1-like repeat	-
NP_249051.1|PA0360	323168f3e463f1b1f98f37f012f1ce8d	328	Pfam	PF08238	Sel1 repeat	67	91	1.3	T	05-02-2023	IPR006597	Sel1-like repeat	-
NP_249051.1|PA0360	323168f3e463f1b1f98f37f012f1ce8d	328	SUPERFAMILY	SSF81901	HCP-like	196	259	1.44E-11	T	05-02-2023	-	-
NP_252415.1|PA3726	3802ccb3d77506d1b6d5cb7034cd69ea	179	SUPERFAMILY	SSF52980	Restriction endonuclease-like	2	177	2.95E-62	T	05-02-2023	IPR011335	Restriction endonuclease  type II-like	-
NP_252415.1|PA3726	3802ccb3d77506d1b6d5cb7034cd69ea	179	Pfam	PF07152	YaeQ protein	1	171	1.4E-61	T	05-02-2023	IPR009822	YaeQ	-
NP_252415.1|PA3726	3802ccb3d77506d1b6d5cb7034cd69ea	179	PANTHER	PTHR38784	SUCROSE PHOSPHORYLASE	1	177	2.8E-68	T	05-02-2023	-	-
NP_252079.1|PA3390	69db4d9e2e1f5d585751049dea1943fc	100	Pfam	PF03992	Antibiotic biosynthesis monooxygenase	1	74	1.3E-19	T	05-02-2023	IPR007138	Antibiotic biosynthesis monooxygenase domain	-
NP_252079.1|PA3390	69db4d9e2e1f5d585751049dea1943fc	100	SUPERFAMILY	SSF54909	Dimeric alpha+beta barrel	1	89	4.98E-24	T	05-02-2023	IPR011008	Dimeric alpha-beta barrel	-
NP_252079.1|PA3390	69db4d9e2e1f5d585751049dea1943fc	100	PANTHER	PTHR33336	QUINOL MONOOXYGENASE YGIN-RELATED	2	86	1.7E-18	T	05-02-2023	-	-
NP_253785.1|PA5098	3ed9f3dc942920c2b114517434cff6ba	509	FunFam	G3DSA:1.10.275.10:FF:000005	Histidine ammonia-lyase	1	196	8.6E-77	T	05-02-2023	-	-
NP_253785.1|PA5098	3ed9f3dc942920c2b114517434cff6ba	509	Pfam	PF00221	Aromatic amino acid lyase	10	469	0.0	T	05-02-2023	IPR001106	Aromatic amino acid lyase	-
NP_253785.1|PA5098	3ed9f3dc942920c2b114517434cff6ba	509	SUPERFAMILY	SSF48557	L-aspartase-like	3	505	0.0	T	05-02-2023	IPR008948	L-Aspartase-like	GO:0003824
NP_253785.1|PA5098	3ed9f3dc942920c2b114517434cff6ba	509	PANTHER	PTHR10362	HISTIDINE AMMONIA-LYASE	5	458	6.5E-123	T	05-02-2023	IPR001106	Aromatic amino acid lyase	-
NP_253785.1|PA5098	3ed9f3dc942920c2b114517434cff6ba	509	FunFam	G3DSA:1.20.200.10:FF:000003	Histidine ammonia-lyase	197	505	0.0	T	05-02-2023	-	-
NP_253785.1|PA5098	3ed9f3dc942920c2b114517434cff6ba	509	CDD	cd00332	PAL-HAL	8	452	0.0	T	05-02-2023	IPR001106	Aromatic amino acid lyase	-
NP_249032.1|PA0341	4c362dbea672b21f9b0d4c5e71af5614	266	Pfam	PF01790	Prolipoprotein diacylglyceryl transferase	9	254	6.2E-85	T	05-02-2023	IPR001640	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase Lgt	GO:0005886|GO:0008961|GO:0042158
NP_249032.1|PA0341	4c362dbea672b21f9b0d4c5e71af5614	266	PANTHER	PTHR30589	PROLIPOPROTEIN DIACYLGLYCERYL TRANSFERASE	2	264	5.1E-84	T	05-02-2023	IPR001640	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase Lgt	GO:0005886|GO:0008961|GO:0042158
NP_252311.1|PA3621	44cb5f54294b451693acde72a0a29904	107	Pfam	PF11953	Domain of unknown function (DUF3470)	66	107	2.8E-23	T	05-02-2023	IPR022569	Ferredoxin, C-terminal	-
NP_252311.1|PA3621	44cb5f54294b451693acde72a0a29904	107	Pfam	PF00037	4Fe-4S binding domain	34	55	5.0E-6	T	05-02-2023	IPR017896	4Fe-4S ferredoxin-type, iron-sulphur binding domain	-
NP_252311.1|PA3621	44cb5f54294b451693acde72a0a29904	107	PANTHER	PTHR42859	OXIDOREDUCTASE	3	62	3.2E-13	T	05-02-2023	-	-
NP_252311.1|PA3621	44cb5f54294b451693acde72a0a29904	107	SUPERFAMILY	SSF54862	4Fe-4S ferredoxins	3	104	1.2E-24	T	05-02-2023	-	-
NP_248747.1|PA0057	df383cb279eb592222a63429accacd3c	295	SUPERFAMILY	SSF56281	Metallo-hydrolase/oxidoreductase	26	253	3.08E-44	T	05-02-2023	IPR036866	Ribonuclease Z/Hydroxyacylglutathione hydrolase-like	-
NP_248747.1|PA0057	df383cb279eb592222a63429accacd3c	295	PANTHER	PTHR42951	METALLO-BETA-LACTAMASE DOMAIN-CONTAINING	40	235	2.1E-28	T	05-02-2023	-	-
NP_248747.1|PA0057	df383cb279eb592222a63429accacd3c	295	Pfam	PF00753	Metallo-beta-lactamase superfamily	49	229	2.2E-12	T	05-02-2023	IPR001279	Metallo-beta-lactamase	-
NP_248747.1|PA0057	df383cb279eb592222a63429accacd3c	295	CDD	cd07739	metallo-hydrolase-like_MBL-fold	30	229	1.89296E-111	T	05-02-2023	-	-
NP_249864.1|PA1173	eb0ae3290d912ca15029afd4910ffcef	163	FunFam	G3DSA:1.10.1130.10:FF:000001	Periplasmic nitrate reductase, electron transfer subunit	66	132	6.4E-35	T	05-02-2023	-	-
NP_249864.1|PA1173	eb0ae3290d912ca15029afd4910ffcef	163	Pfam	PF03892	Nitrate reductase cytochrome c-type subunit (NapB)	40	146	2.8E-46	T	05-02-2023	IPR005591	Nitrate reductase cytochrome c-type subunit NapB	GO:0009061
NP_249864.1|PA1173	eb0ae3290d912ca15029afd4910ffcef	163	PANTHER	PTHR38604	PERIPLASMIC NITRATE REDUCTASE, ELECTRON TRANSFER SUBUNIT	1	152	3.2E-60	T	05-02-2023	IPR005591	Nitrate reductase cytochrome c-type subunit NapB	GO:0009061
NP_249864.1|PA1173	eb0ae3290d912ca15029afd4910ffcef	163	SUPERFAMILY	SSF48695	Multiheme cytochromes	44	153	6.55E-43	T	05-02-2023	IPR036280	Multiheme cytochrome superfamily	-
NP_253017.1|PA4327	7cdfaee0994c0a0696a88a70353a238a	268	SUPERFAMILY	SSF81901	HCP-like	91	241	9.94E-6	T	05-02-2023	-	-
NP_252178.2|PA3488	02e7a1f803877028b5253f8619e3b4c5	344	Pfam	PF18426	Tle cognate immunity protein 4 C-terminal domain	182	233	3.0E-7	T	05-02-2023	IPR041290	Tle cognate immunity protein 4, C-terminal domain	-
NP_251205.1|PA2515	a491ca8c0765f2bec44794e3056127d6	253	PANTHER	PTHR42760	SHORT-CHAIN DEHYDROGENASES/REDUCTASES FAMILY MEMBER	4	250	1.3E-52	T	05-02-2023	-	-
NP_251205.1|PA2515	a491ca8c0765f2bec44794e3056127d6	253	Pfam	PF13561	Enoyl-(Acyl carrier protein) reductase	14	250	1.4E-48	T	05-02-2023	-	-
NP_251205.1|PA2515	a491ca8c0765f2bec44794e3056127d6	253	CDD	cd08937	DHB_DH-like_SDR_c	4	253	0.0	T	05-02-2023	-	-
NP_251205.1|PA2515	a491ca8c0765f2bec44794e3056127d6	253	SUPERFAMILY	SSF51735	NAD(P)-binding Rossmann-fold domains	7	250	1.12E-66	T	05-02-2023	IPR036291	NAD(P)-binding domain superfamily	-
NP_251205.1|PA2515	a491ca8c0765f2bec44794e3056127d6	253	FunFam	G3DSA:3.40.50.720:FF:000084	Short-chain dehydrogenase reductase	1	252	6.4E-62	T	05-02-2023	-	-
NP_253747.1|PA5060	f09067d5382d375a3e26883594114027	309	PANTHER	PTHR38664	SLR0058 PROTEIN	1	179	1.4E-101	T	05-02-2023	IPR008769	Poly granule associated	-
NP_253747.1|PA5060	f09067d5382d375a3e26883594114027	309	Pfam	PF05597	Poly(hydroxyalcanoate) granule associated protein (phasin)	8	134	2.6E-44	T	05-02-2023	IPR008769	Poly granule associated	-
NP_249535.1|PA0844	d20d09d110b41f0756329d6dee2a8c77	730	PANTHER	PTHR31956	NON-SPECIFIC PHOSPHOLIPASE C4-RELATED	11	476	1.3E-98	T	05-02-2023	IPR007312	Phosphoesterase	GO:0016788
NP_249535.1|PA0844	d20d09d110b41f0756329d6dee2a8c77	730	Pfam	PF05506	Bacterial phospholipase C, C-terminal domain	512	619	1.3E-15	T	05-02-2023	IPR008475	Bacterial phospholipase C, C-terminal domain	GO:0004629|GO:0016042
NP_249535.1|PA0844	d20d09d110b41f0756329d6dee2a8c77	730	Pfam	PF05506	Bacterial phospholipase C, C-terminal domain	629	712	1.5E-16	T	05-02-2023	IPR008475	Bacterial phospholipase C, C-terminal domain	GO:0004629|GO:0016042
NP_249535.1|PA0844	d20d09d110b41f0756329d6dee2a8c77	730	Pfam	PF04185	Phosphoesterase family	51	436	4.0E-125	T	05-02-2023	IPR007312	Phosphoesterase	GO:0016788
NP_252217.1|PA3527	de983f647147a623dc48c044f917d3dd	348	SUPERFAMILY	SSF51556	Metallo-dependent hydrolases	3	343	0.0	T	05-02-2023	IPR032466	Metal-dependent hydrolase	-
NP_252217.1|PA3527	de983f647147a623dc48c044f917d3dd	348	CDD	cd01294	DHOase	5	341	0.0	T	05-02-2023	IPR004721	Dihydroorotase homodimeric type	GO:0004151|GO:0019856
NP_252217.1|PA3527	de983f647147a623dc48c044f917d3dd	348	FunFam	G3DSA:3.20.20.140:FF:000006	Dihydroorotase	2	345	0.0	T	05-02-2023	-	-
NP_252217.1|PA3527	de983f647147a623dc48c044f917d3dd	348	Pfam	PF01979	Amidohydrolase family	12	310	5.0E-13	T	05-02-2023	IPR006680	Amidohydrolase-related	GO:0016787
NP_252217.1|PA3527	de983f647147a623dc48c044f917d3dd	348	PANTHER	PTHR43137	DIHYDROOROTASE	3	343	0.0	T	05-02-2023	IPR004721	Dihydroorotase homodimeric type	GO:0004151|GO:0019856
NP_249108.1|PA0417	74b1d3c5911b087b10beb25c2713bcfc	203	Pfam	PF01810	LysE type translocator	14	199	1.7E-51	T	05-02-2023	IPR001123	Amino acid exporter protein, LeuE-type	GO:0006865|GO:0016020
NP_249108.1|PA0417	74b1d3c5911b087b10beb25c2713bcfc	203	PANTHER	PTHR30086	ARGININE EXPORTER PROTEIN ARGO	1	198	1.7E-30	T	05-02-2023	IPR001123	Amino acid exporter protein, LeuE-type	GO:0006865|GO:0016020
NP_250012.1|PA1321	b25e5e376851330bb42af4ed044fdd14	296	CDD	cd13957	PT_UbiA_Cox10	7	278	5.74978E-104	T	05-02-2023	IPR006369	Protohaem IX farnesyltransferase	GO:0006783|GO:0008495|GO:0016020
NP_250012.1|PA1321	b25e5e376851330bb42af4ed044fdd14	296	FunFam	G3DSA:1.10.357.140:FF:000001	Protoheme IX farnesyltransferase	10	164	4.0E-59	T	05-02-2023	-	-
NP_250012.1|PA1321	b25e5e376851330bb42af4ed044fdd14	296	PANTHER	PTHR43448	PROTOHEME IX FARNESYLTRANSFERASE, MITOCHONDRIAL	4	282	7.6E-62	T	05-02-2023	IPR006369	Protohaem IX farnesyltransferase	GO:0006783|GO:0008495|GO:0016020
NP_250012.1|PA1321	b25e5e376851330bb42af4ed044fdd14	296	Pfam	PF01040	UbiA prenyltransferase family	19	267	4.9E-57	T	05-02-2023	IPR000537	UbiA prenyltransferase family	GO:0016020|GO:0016765
NP_248885.1|PA0195	ba60f79f99708f4ea61ec2873210488b	372	CDD	cd05304	Rubrum_tdh	1	365	0.0	T	05-02-2023	-	-
NP_248885.1|PA0195	ba60f79f99708f4ea61ec2873210488b	372	Pfam	PF05222	Alanine dehydrogenase/PNT, N-terminal domain	4	136	2.7E-42	T	05-02-2023	IPR007886	Alanine dehydrogenase/pyridine nucleotide transhydrogenase, N-terminal	-
NP_248885.1|PA0195	ba60f79f99708f4ea61ec2873210488b	372	SUPERFAMILY	SSF52283	Formate/glycerate dehydrogenase catalytic domain-like	1	167	6.63E-52	T	05-02-2023	-	-
NP_248885.1|PA0195	ba60f79f99708f4ea61ec2873210488b	372	FunFam	G3DSA:3.40.50.720:FF:000188	NAD(P) transhydrogenase alpha subunit 1	136	321	9.3E-101	T	05-02-2023	-	-
NP_248885.1|PA0195	ba60f79f99708f4ea61ec2873210488b	372	Pfam	PF01262	Alanine dehydrogenase/PNT, C-terminal domain	140	369	1.6E-73	T	05-02-2023	IPR007698	Alanine dehydrogenase/pyridine nucleotide transhydrogenase, NAD(H)-binding domain	-
NP_248885.1|PA0195	ba60f79f99708f4ea61ec2873210488b	372	SUPERFAMILY	SSF51735	NAD(P)-binding Rossmann-fold domains	136	317	2.69E-36	T	05-02-2023	IPR036291	NAD(P)-binding domain superfamily	-
NP_248885.1|PA0195	ba60f79f99708f4ea61ec2873210488b	372	PANTHER	PTHR10160	NAD(P) TRANSHYDROGENASE	1	368	1.5E-130	T	05-02-2023	-	-
NP_254127.1|PA5440	3a1b5a61075e76d019801ea1552f09aa	464	Pfam	PF16325	Peptidase family U32 C-terminal domain	354	425	1.3E-19	T	05-02-2023	IPR032525	Peptidase family U32, C-terminal	-
NP_254127.1|PA5440	3a1b5a61075e76d019801ea1552f09aa	464	Pfam	PF01136	Peptidase family U32	80	337	2.5E-97	T	05-02-2023	IPR001539	Peptidase U32	-
NP_254127.1|PA5440	3a1b5a61075e76d019801ea1552f09aa	464	PANTHER	PTHR30217	PEPTIDASE U32 FAMILY	6	400	0.0	T	05-02-2023	-	-
NP_251457.1|PA2767	0013c4c9024368ad008e47b30f094a0a	322	CDD	cd06558	crotonase-like	8	239	4.86744E-44	T	05-02-2023	-	-
NP_251457.1|PA2767	0013c4c9024368ad008e47b30f094a0a	322	PANTHER	PTHR11941	ENOYL-COA HYDRATASE-RELATED	12	288	1.0E-48	T	05-02-2023	-	-
NP_251457.1|PA2767	0013c4c9024368ad008e47b30f094a0a	322	SUPERFAMILY	SSF52096	ClpP/crotonase	6	295	2.11E-61	T	05-02-2023	IPR029045	ClpP/crotonase-like domain superfamily	-
NP_251457.1|PA2767	0013c4c9024368ad008e47b30f094a0a	322	Pfam	PF00378	Enoyl-CoA hydratase/isomerase	124	293	3.1E-35	T	05-02-2023	IPR001753	Enoyl-CoA hydratase/isomerase	GO:0003824
NP_251457.1|PA2767	0013c4c9024368ad008e47b30f094a0a	322	Pfam	PF00378	Enoyl-CoA hydratase/isomerase	13	74	2.3E-7	T	05-02-2023	IPR001753	Enoyl-CoA hydratase/isomerase	GO:0003824
NP_250600.1|PA1910	7a0d10c5f32a36b0a41a2dd4a2e0308d	804	Pfam	PF07715	TonB-dependent Receptor Plug Domain	162	260	2.4E-16	T	05-02-2023	IPR012910	TonB-dependent receptor, plug domain	-
NP_250600.1|PA1910	7a0d10c5f32a36b0a41a2dd4a2e0308d	804	CDD	cd01347	ligand_gated_channel	168	804	6.46053E-122	T	05-02-2023	-	-
