id_row	id	md5	protein_len	method	id_method	description	start_loc	end_loc	score	status	date	interpro_access	interpro_description	type	GO
5787	NP_390231.2	90353d691d465d58cd65c42d31e405ae	394	CDD	cd16009	PPM	7	389	0.0	T	08-02-2023	IPR010045	Phosphopentomutase	FAMILY	GO:0043094
5788	NP_390231.2	90353d691d465d58cd65c42d31e405ae	394	FunFam	G3DSA:3.30.70.1250:FF:000001	Phosphopentomutase	101	219	8e-58	T	08-02-2023	NaN	NaN	NaN	NaN
5789	NP_390231.2	90353d691d465d58cd65c42d31e405ae	394	PANTHER	PTHR21110	PHOSPHOPENTOMUTASE	7	392	0.0	T	08-02-2023	IPR010045	Phosphopentomutase	FAMILY	GO:0000287
5789	NP_390231.2	90353d691d465d58cd65c42d31e405ae	394	PANTHER	PTHR21110	PHOSPHOPENTOMUTASE	7	392	0.0	T	08-02-2023	IPR010045	Phosphopentomutase	FAMILY	GO:0005737
5789	NP_390231.2	90353d691d465d58cd65c42d31e405ae	394	PANTHER	PTHR21110	PHOSPHOPENTOMUTASE	7	392	0.0	T	08-02-2023	IPR010045	Phosphopentomutase	FAMILY	GO:0008973
5789	NP_390231.2	90353d691d465d58cd65c42d31e405ae	394	PANTHER	PTHR21110	PHOSPHOPENTOMUTASE	7	392	0.0	T	08-02-2023	IPR010045	Phosphopentomutase	FAMILY	GO:0009117
5789	NP_390231.2	90353d691d465d58cd65c42d31e405ae	394	PANTHER	PTHR21110	PHOSPHOPENTOMUTASE	7	392	0.0	T	08-02-2023	IPR010045	Phosphopentomutase	FAMILY	GO:0043094
5790	NP_390231.2	90353d691d465d58cd65c42d31e405ae	394	SUPERFAMILY	SSF143856	DeoB insert domain-like	103	219	1.27e-51	T	08-02-2023	IPR024052	Phosphopentomutase DeoB cap domain superfamily	HOMOLOGOUS_SUPERFAMILY	GO:0008973
5791	NP_388125.1	3a4ce43f72ca65655441a9e206f034fb	327	FunFam	G3DSA:3.40.710.10:FF:000005	Glutaminase	11	327	3.1e-91	T	08-02-2023	NaN	NaN	NaN	NaN
5792	NP_388125.1	3a4ce43f72ca65655441a9e206f034fb	327	SUPERFAMILY	SSF56601	beta-lactamase/transpeptidase-like	2	327	3.0500000000000003e-124	T	08-02-2023	IPR012338	Beta-lactamase/transpeptidase-like	HOMOLOGOUS_SUPERFAMILY	NaN
5793	NP_388125.1	3a4ce43f72ca65655441a9e206f034fb	327	PANTHER	PTHR12544	GLUTAMINASE	29	326	3.5e-79	T	08-02-2023	IPR015868	Glutaminase	FAMILY	GO:0004359
5793	NP_388125.1	3a4ce43f72ca65655441a9e206f034fb	327	PANTHER	PTHR12544	GLUTAMINASE	29	326	3.5e-79	T	08-02-2023	IPR015868	Glutaminase	FAMILY	GO:0006541
5794	NP_388125.1	3a4ce43f72ca65655441a9e206f034fb	327	Pfam	PF04960	Glutaminase	32	327	8.5e-107	T	08-02-2023	IPR015868	Glutaminase	FAMILY	GO:0004359
5794	NP_388125.1	3a4ce43f72ca65655441a9e206f034fb	327	Pfam	PF04960	Glutaminase	32	327	8.5e-107	T	08-02-2023	IPR015868	Glutaminase	FAMILY	GO:0006541
5795	NP_389589.1	a95df4319c8554f07d96036518c0a9c6	205	Pfam	PF00440	Bacterial regulatory proteins, tetR family	14	58	7.3e-10	T	08-02-2023	IPR001647	DNA-binding HTH domain, TetR-type	DOMAIN	GO:0003677
5796	NP_389589.1	a95df4319c8554f07d96036518c0a9c6	205	PANTHER	PTHR30055	HTH-TYPE TRANSCRIPTIONAL REGULATOR RUTR	8	176	4.5e-11	T	08-02-2023	NaN	NaN	NaN	NaN
5797	NP_389589.1	a95df4319c8554f07d96036518c0a9c6	205	SUPERFAMILY	SSF48498	Tetracyclin repressor-like, C-terminal domain	82	195	1.89e-26	T	08-02-2023	IPR036271	Tetracyclin repressor-like, C-terminal domain superfamily	HOMOLOGOUS_SUPERFAMILY	NaN
5798	NP_389589.1	a95df4319c8554f07d96036518c0a9c6	205	Pfam	PF13977	BetI-type transcriptional repressor, C-terminal	82	193	3.6999999999999996e-25	T	08-02-2023	IPR039538	BetI-type transcriptional repressor, C-terminal	DOMAIN	NaN
5799	NP_389589.1	a95df4319c8554f07d96036518c0a9c6	205	SUPERFAMILY	SSF46689	Homeodomain-like	1	74	1.94e-16	T	08-02-2023	IPR009057	Homeobox-like domain superfamily	HOMOLOGOUS_SUPERFAMILY	NaN
5800	YP_003097762.1	a09b10d88c3dc221dfaba22485933a98	44	Pfam	PF14141	YqzM-like protein	2	43	3.9e-24	T	08-02-2023	IPR025416	YqzM-like protein	FAMILY	NaN
5801	NP_390354.1	f4cb96d9a6215fd2c6e1f023201f2c6d	317	FunFam	G3DSA:1.20.58.340:FF:000004	Magnesium transport protein CorA	228	298	1.2e-21	T	08-02-2023	NaN	NaN	NaN	NaN
5802	NP_390354.1	f4cb96d9a6215fd2c6e1f023201f2c6d	317	SUPERFAMILY	SSF143865	CorA soluble domain-like	64	189	9.68e-08	T	08-02-2023	IPR045861	CorA, cytoplasmic domain	HOMOLOGOUS_SUPERFAMILY	NaN
5803	NP_390354.1	f4cb96d9a6215fd2c6e1f023201f2c6d	317	SUPERFAMILY	SSF144083	Magnesium transport protein CorA, transmembrane region	234	295	1.57e-17	T	08-02-2023	IPR045863	CorA, transmembrane region	HOMOLOGOUS_SUPERFAMILY	NaN
5804	NP_390354.1	f4cb96d9a6215fd2c6e1f023201f2c6d	317	CDD	cd12821	EcCorA_ZntB-like	11	297	6.2056e-98	T	08-02-2023	NaN	NaN	NaN	NaN
5805	NP_390354.1	f4cb96d9a6215fd2c6e1f023201f2c6d	317	Pfam	PF01544	CorA-like Mg2+ transporter protein	48	294	9.800000000000001e-30	T	08-02-2023	IPR002523	Mg2+ transporter protein, CorA-like/Zinc transport protein ZntB	FAMILY	GO:0016020
5805	NP_390354.1	f4cb96d9a6215fd2c6e1f023201f2c6d	317	Pfam	PF01544	CorA-like Mg2+ transporter protein	48	294	9.800000000000001e-30	T	08-02-2023	IPR002523	Mg2+ transporter protein, CorA-like/Zinc transport protein ZntB	FAMILY	GO:0030001
5805	NP_390354.1	f4cb96d9a6215fd2c6e1f023201f2c6d	317	Pfam	PF01544	CorA-like Mg2+ transporter protein	48	294	9.800000000000001e-30	T	08-02-2023	IPR002523	Mg2+ transporter protein, CorA-like/Zinc transport protein ZntB	FAMILY	GO:0046873
5805	NP_390354.1	f4cb96d9a6215fd2c6e1f023201f2c6d	317	Pfam	PF01544	CorA-like Mg2+ transporter protein	48	294	9.800000000000001e-30	T	08-02-2023	IPR002523	Mg2+ transporter protein, CorA-like/Zinc transport protein ZntB	FAMILY	GO:0055085
5806	NP_390354.1	f4cb96d9a6215fd2c6e1f023201f2c6d	317	PANTHER	PTHR46494	CORA FAMILY METAL ION TRANSPORTER (EUROFUNG)	80	298	5.6e-38	T	08-02-2023	NaN	NaN	NaN	NaN
5807	NP_391338.1	3a0fa4764e308089818f8d1367a57861	294	Pfam	PF06691	Protein of unknown function (DUF1189)	61	257	4.8e-14	T	08-02-2023	IPR009574	Protein of unknown function DUF1189	FAMILY	NaN
5808	NP_390271.2	bd257800ba68cb5645064a4ab3ff4c2d	371	Pfam	PF01546	Peptidase family M20/M25/M40	73	367	1.3e-25	T	08-02-2023	IPR002933	Peptidase M20	FAMILY	GO:0016787
5809	NP_390271.2	bd257800ba68cb5645064a4ab3ff4c2d	371	SUPERFAMILY	SSF53187	Zn-dependent exopeptidases	5	370	3.02e-64	T	08-02-2023	NaN	NaN	NaN	NaN
5810	NP_390271.2	bd257800ba68cb5645064a4ab3ff4c2d	371	FunFam	G3DSA:3.30.70.360:FF:000007	Peptidase, M20/M25/M40 family	176	287	3.3000000000000004e-57	T	08-02-2023	NaN	NaN	NaN	NaN
5811	NP_390271.2	bd257800ba68cb5645064a4ab3ff4c2d	371	PANTHER	PTHR42994	PEPTIDASE T	1	370	7.499999999999999e-105	T	08-02-2023	NaN	NaN	NaN	NaN
5812	NP_390271.2	bd257800ba68cb5645064a4ab3ff4c2d	371	Pfam	PF07687	Peptidase dimerisation domain	181	272	1e-14	T	08-02-2023	IPR011650	Peptidase M20, dimerisation domain	DOMAIN	NaN
5813	NP_390271.2	bd257800ba68cb5645064a4ab3ff4c2d	371	SUPERFAMILY	SSF55031	Bacterial exopeptidase dimerisation domain	179	284	1.4400000000000001e-21	T	08-02-2023	IPR036264	Bacterial exopeptidase dimerisation domain	HOMOLOGOUS_SUPERFAMILY	NaN
5814	NP_388937.1	2698f67286897002ef0e3b2921c01c85	329	PANTHER	PTHR30146	LACI-RELATED TRANSCRIPTIONAL REPRESSOR	1	329	1.3e-93	T	08-02-2023	NaN	NaN	NaN	NaN
5815	NP_388937.1	2698f67286897002ef0e3b2921c01c85	329	CDD	cd06286	PBP1_CcpB-like	61	326	2.6766999999999997e-106	T	08-02-2023	NaN	NaN	NaN	NaN
5816	NP_388937.1	2698f67286897002ef0e3b2921c01c85	329	SUPERFAMILY	SSF53822	Periplasmic binding protein-like I	60	329	4.7100000000000006e-70	T	08-02-2023	IPR028082	Periplasmic binding protein-like I	HOMOLOGOUS_SUPERFAMILY	NaN
5817	NP_388937.1	2698f67286897002ef0e3b2921c01c85	329	Pfam	PF00356	Bacterial regulatory proteins, lacI family	3	48	1.2e-18	T	08-02-2023	IPR000843	LacI-type HTH domain	DOMAIN	GO:0003677
5817	NP_388937.1	2698f67286897002ef0e3b2921c01c85	329	Pfam	PF00356	Bacterial regulatory proteins, lacI family	3	48	1.2e-18	T	08-02-2023	IPR000843	LacI-type HTH domain	DOMAIN	GO:0006355
5818	NP_388937.1	2698f67286897002ef0e3b2921c01c85	329	SUPERFAMILY	SSF47413	lambda repressor-like DNA-binding domains	1	59	3.19e-18	T	08-02-2023	IPR010982	Lambda repressor-like, DNA-binding domain superfamily	HOMOLOGOUS_SUPERFAMILY	GO:0003677
5819	NP_388937.1	2698f67286897002ef0e3b2921c01c85	329	CDD	cd01392	HTH_LacI	6	56	1.37454e-21	T	08-02-2023	IPR000843	LacI-type HTH domain	DOMAIN	GO:0003677
5819	NP_388937.1	2698f67286897002ef0e3b2921c01c85	329	CDD	cd01392	HTH_LacI	6	56	1.37454e-21	T	08-02-2023	IPR000843	LacI-type HTH domain	DOMAIN	GO:0006355
5820	NP_388937.1	2698f67286897002ef0e3b2921c01c85	329	Pfam	PF13377	Periplasmic binding protein-like domain	168	329	2.8e-35	T	08-02-2023	IPR046335	Transcriptional regulator LacI/GalR-like, sensor domain	DOMAIN	NaN
5821	NP_391507.1	4ff70e889e19fe0cf867118f796d071a	248	PANTHER	PTHR32309	TYROSINE-PROTEIN KINASE	145	223	1.8e-45	T	08-02-2023	NaN	NaN	NaN	NaN
5822	NP_391507.1	4ff70e889e19fe0cf867118f796d071a	248	Pfam	PF02706	Chain length determinant protein	5	93	8.899999999999999e-24	T	08-02-2023	IPR003856	Polysaccharide chain length determinant N-terminal domain	DOMAIN	GO:0009103
5822	NP_391507.1	4ff70e889e19fe0cf867118f796d071a	248	Pfam	PF02706	Chain length determinant protein	5	93	8.899999999999999e-24	T	08-02-2023	IPR003856	Polysaccharide chain length determinant N-terminal domain	DOMAIN	GO:0016020
5823	NP_391507.1	4ff70e889e19fe0cf867118f796d071a	248	Pfam	PF13807	G-rich domain on putative tyrosine kinase	142	194	1.3e-06	T	08-02-2023	IPR032807	Tyrosine kinase, G-rich domain	DOMAIN	NaN
5824	NP_388536.2	c01f0d2a1e6b70b7db4b4c9b684eb896	139	FunFam	G3DSA:1.10.10.10:FF:000186	AsnC family transcriptional regulator	1	52	5.5999999999999996e-24	T	08-02-2023	NaN	NaN	NaN	NaN
5825	NP_388536.2	c01f0d2a1e6b70b7db4b4c9b684eb896	139	SUPERFAMILY	SSF46785	Winged helix DNA-binding domain	1	59	7.96e-16	T	08-02-2023	IPR036390	Winged helix DNA-binding domain superfamily	HOMOLOGOUS_SUPERFAMILY	NaN
5826	NP_388536.2	c01f0d2a1e6b70b7db4b4c9b684eb896	139	PANTHER	PTHR30154	LEUCINE-RESPONSIVE REGULATORY PROTEIN	1	122	7.999999999999999e-31	T	08-02-2023	NaN	NaN	NaN	NaN
5827	NP_388536.2	c01f0d2a1e6b70b7db4b4c9b684eb896	139	SUPERFAMILY	SSF54909	Dimeric alpha+beta barrel	62	132	8.18e-11	T	08-02-2023	IPR011008	Dimeric alpha-beta barrel	HOMOLOGOUS_SUPERFAMILY	NaN
5828	NP_388536.2	c01f0d2a1e6b70b7db4b4c9b684eb896	139	Pfam	PF01037	Lrp/AsnC ligand binding domain	69	130	7.1e-09	T	08-02-2023	IPR019887	Transcription regulator AsnC/Lrp, ligand binding domain	DOMAIN	NaN
5829	NP_388536.2	c01f0d2a1e6b70b7db4b4c9b684eb896	139	CDD	cd00090	HTH_ARSR	2	50	7.37746e-08	T	08-02-2023	IPR011991	ArsR-like helix-turn-helix domain	DOMAIN	NaN
5830	NP_388536.2	c01f0d2a1e6b70b7db4b4c9b684eb896	139	Pfam	PF13412	Winged helix-turn-helix DNA-binding	1	48	7.8e-17	T	08-02-2023	NaN	NaN	NaN	NaN
5831	NP_389420.1	401d1951dcc3ec8a3dcf60a6589c03d6	278	CDD	cd16833	YfiH	79	274	5.68558e-81	T	08-02-2023	IPR003730	Multi-copper polyphenol oxidoreductase	FAMILY	NaN
5832	NP_389420.1	401d1951dcc3ec8a3dcf60a6589c03d6	278	Pfam	PF02578	Multi-copper polyphenol oxidoreductase laccase	35	273	4.5e-78	T	08-02-2023	IPR003730	Multi-copper polyphenol oxidoreductase	FAMILY	NaN
5833	NP_389420.1	401d1951dcc3ec8a3dcf60a6589c03d6	278	PANTHER	PTHR30616	UNCHARACTERIZED PROTEIN YFIH	16	277	1.2e-76	T	08-02-2023	IPR003730	Multi-copper polyphenol oxidoreductase	FAMILY	NaN
5834	NP_389420.1	401d1951dcc3ec8a3dcf60a6589c03d6	278	SUPERFAMILY	SSF64438	CNF1/YfiH-like putative cysteine hydrolases	26	276	7.33e-83	T	08-02-2023	IPR011324	Cytotoxic necrotizing factor-like, catalytic	HOMOLOGOUS_SUPERFAMILY	NaN
5835	NP_391311.1	4b43b83dd3b3a7a06fa9c2b88a5c7486	367	Pfam	PF14897	EpsG family	38	362	4.7999999999999997e-54	T	08-02-2023	NaN	NaN	NaN	NaN
5836	NP_391481.1	78ca3a03931b6bbe87dfe1961d61b067	255	SUPERFAMILY	SSF117856	AF0104/ALDC/Ptd012-like	21	251	1.05e-84	T	08-02-2023	NaN	NaN	NaN	NaN
5837	NP_391481.1	78ca3a03931b6bbe87dfe1961d61b067	255	Pfam	PF03306	Alpha-acetolactate decarboxylase	22	239	5.1999999999999994e-83	T	08-02-2023	IPR005128	Alpha-acetolactate decarboxylase	FAMILY	GO:0045151
5837	NP_391481.1	78ca3a03931b6bbe87dfe1961d61b067	255	Pfam	PF03306	Alpha-acetolactate decarboxylase	22	239	5.1999999999999994e-83	T	08-02-2023	IPR005128	Alpha-acetolactate decarboxylase	FAMILY	GO:0047605
5838	NP_391481.1	78ca3a03931b6bbe87dfe1961d61b067	255	PANTHER	PTHR35524	ALPHA-ACETOLACTATE DECARBOXYLASE	6	251	1.2e-97	T	08-02-2023	IPR005128	Alpha-acetolactate decarboxylase	FAMILY	GO:0045151
5838	NP_391481.1	78ca3a03931b6bbe87dfe1961d61b067	255	PANTHER	PTHR35524	ALPHA-ACETOLACTATE DECARBOXYLASE	6	251	1.2e-97	T	08-02-2023	IPR005128	Alpha-acetolactate decarboxylase	FAMILY	GO:0047605
5839	NP_391481.1	78ca3a03931b6bbe87dfe1961d61b067	255	CDD	cd17299	acetolactate_decarboxylase	20	251	3.8660400000000006e-120	T	08-02-2023	IPR005128	Alpha-acetolactate decarboxylase	FAMILY	GO:0045151
5839	NP_391481.1	78ca3a03931b6bbe87dfe1961d61b067	255	CDD	cd17299	acetolactate_decarboxylase	20	251	3.8660400000000006e-120	T	08-02-2023	IPR005128	Alpha-acetolactate decarboxylase	FAMILY	GO:0047605
5840	NP_390411.1	4274600d0db6b674fcb2e190c27869bd	711	Pfam	PF01966	HD domain	501	642	8.6e-20	T	08-02-2023	IPR006674	HD domain	DOMAIN	NaN
5841	NP_390411.1	4274600d0db6b674fcb2e190c27869bd	711	CDD	cd00077	HDc	499	663	1.20248e-16	T	08-02-2023	IPR003607	HD/PDEase domain	DOMAIN	NaN
5842	NP_390411.1	4274600d0db6b674fcb2e190c27869bd	711	Pfam	PF07697	7TM-HD extracellular	54	270	3.2e-40	T	08-02-2023	IPR011624	Metal-dependent phosphohydrolase, 7TM extracellular domain	DOMAIN	NaN
5843	NP_390411.1	4274600d0db6b674fcb2e190c27869bd	711	Pfam	PF07698	7TM receptor with intracellular HD hydrolase	277	476	3e-51	T	08-02-2023	IPR011621	Metal-dependent phosphohydrolase, 7TM intracellular domain	DOMAIN	NaN
5844	NP_390411.1	4274600d0db6b674fcb2e190c27869bd	711	PANTHER	PTHR36442	CYCLIC-DI-AMP PHOSPHODIESTERASE PGPH	2	710	0.0	T	08-02-2023	NaN	NaN	NaN	NaN
5845	NP_390411.1	4274600d0db6b674fcb2e190c27869bd	711	SUPERFAMILY	SSF109604	HD-domain/PDEase-like	500	672	3.77e-15	T	08-02-2023	NaN	NaN	NaN	NaN
5846	NP_390411.1	4274600d0db6b674fcb2e190c27869bd	711	CDD	cd12082	MATE_like	160	572	5.84592e-29	T	08-02-2023	NaN	NaN	NaN	NaN
5847	NP_391606.1	c863a7e63130100107622ac62e4b8efe	223	SUPERFAMILY	SSF103501	Respiratory nitrate reductase 1 gamma chain	2	222	3.53e-71	T	08-02-2023	IPR036197	NarG-like superfamily	HOMOLOGOUS_SUPERFAMILY	NaN
5848	NP_391606.1	c863a7e63130100107622ac62e4b8efe	223	Pfam	PF02665	Nitrate reductase gamma subunit	4	222	3.5e-88	T	08-02-2023	IPR023234	NarG-like domain	DOMAIN	NaN
5849	NP_391606.1	c863a7e63130100107622ac62e4b8efe	223	PANTHER	PTHR30598	NITRATE REDUCTASE PRIVATE CHAPERONE, REDOX ENZYME MATURATION PROTEIN  REMP  FAMILY	3	222	7.7e-93	T	08-02-2023	NaN	NaN	NaN	NaN
5850	NP_391606.1	c863a7e63130100107622ac62e4b8efe	223	FunFam	G3DSA:1.20.950.20:FF:000001	Respiratory nitrate reductase subunit gamma	1	214	3.3e-83	T	08-02-2023	NaN	NaN	NaN	NaN
5851	NP_391460.1	6a556867ac97a9834a582f62342b0484	316	Pfam	PF20511	Phosphomannose isomerase type I, catalytic domain	8	119	7.6e-29	T	08-02-2023	IPR046457	Phosphomannose isomerase type I, catalytic domain	DOMAIN	GO:0004476
5851	NP_391460.1	6a556867ac97a9834a582f62342b0484	316	Pfam	PF20511	Phosphomannose isomerase type I, catalytic domain	8	119	7.6e-29	T	08-02-2023	IPR046457	Phosphomannose isomerase type I, catalytic domain	DOMAIN	GO:0008270
5852	NP_391460.1	6a556867ac97a9834a582f62342b0484	316	CDD	cd07010	cupin_PMI_type_I_N_bac	10	218	7.34749e-82	T	08-02-2023	NaN	NaN	NaN	NaN
5853	NP_391460.1	6a556867ac97a9834a582f62342b0484	316	PANTHER	PTHR42742	TRANSCRIPTIONAL REPRESSOR MPRA	5	313	2.8e-62	T	08-02-2023	NaN	NaN	NaN	NaN
5854	NP_391460.1	6a556867ac97a9834a582f62342b0484	316	Pfam	PF01238	Phosphomannose isomerase type I C-terminal	271	316	1.8e-16	T	08-02-2023	IPR046456	Phosphomannose isomerase type I, C-terminal domain	DOMAIN	NaN
5855	NP_391460.1	6a556867ac97a9834a582f62342b0484	316	SUPERFAMILY	SSF51182	RmlC-like cupins	3	315	1.61e-107	T	08-02-2023	IPR011051	RmlC-like cupin domain superfamily	HOMOLOGOUS_SUPERFAMILY	NaN
5856	NP_390470.1	051eaaf4a0ec8ff6f91d5673593ade51	54	Pfam	PF09693	Phage uncharacterised protein (Phage_XkdX)	17	53	1.9e-09	T	08-02-2023	IPR010022	Protein of unknown function XkdX	FAMILY	NaN
5857	NP_391102.1	04f6d9e1bcda35d026e957a245e87f7c	111	SUPERFAMILY	SSF117916	Fe-S cluster assembly (FSCA) domain-like	31	110	3.1100000000000004e-26	T	08-02-2023	IPR034904	Fe-S cluster assembly domain superfamily	HOMOLOGOUS_SUPERFAMILY	NaN
5858	NP_391102.1	04f6d9e1bcda35d026e957a245e87f7c	111	Pfam	PF01106	NifU-like domain	43	108	1.7000000000000002e-27	T	08-02-2023	IPR001075	NIF system FeS cluster assembly, NifU, C-terminal	DOMAIN	GO:0005506
5858	NP_391102.1	04f6d9e1bcda35d026e957a245e87f7c	111	Pfam	PF01106	NifU-like domain	43	108	1.7000000000000002e-27	T	08-02-2023	IPR001075	NIF system FeS cluster assembly, NifU, C-terminal	DOMAIN	GO:0016226
5858	NP_391102.1	04f6d9e1bcda35d026e957a245e87f7c	111	Pfam	PF01106	NifU-like domain	43	108	1.7000000000000002e-27	T	08-02-2023	IPR001075	NIF system FeS cluster assembly, NifU, C-terminal	DOMAIN	GO:0051536
5859	NP_391102.1	04f6d9e1bcda35d026e957a245e87f7c	111	PANTHER	PTHR11178	IRON-SULFUR CLUSTER SCAFFOLD PROTEIN NFU-RELATED	33	111	1.5999999999999999e-24	T	08-02-2023	NaN	NaN	NaN	NaN
5860	NP_391102.1	04f6d9e1bcda35d026e957a245e87f7c	111	FunFam	G3DSA:3.30.300.130:FF:000003	NifU-like protein 3, chloroplastic	35	111	3.5999999999999996e-31	T	08-02-2023	NaN	NaN	NaN	NaN
5861	NP_390142.1	fb094f9cbda6389b55f0a589d275837d	371	FunFam	G3DSA:1.10.3660.10:FF:000003	Prephenate dehydrogenase	181	287	1.3e-40	T	08-02-2023	NaN	NaN	NaN	NaN
5862	NP_390142.1	fb094f9cbda6389b55f0a589d275837d	371	FunFam	G3DSA:3.30.70.260:FF:000100	Prephenate dehydrogenase	297	369	3.2e-36	T	08-02-2023	NaN	NaN	NaN	NaN
5863	NP_390142.1	fb094f9cbda6389b55f0a589d275837d	371	SUPERFAMILY	SSF51735	NAD(P)-binding Rossmann-fold domains	8	173	2.79e-43	T	08-02-2023	IPR036291	NAD(P)-binding domain superfamily	HOMOLOGOUS_SUPERFAMILY	NaN
5864	NP_390142.1	fb094f9cbda6389b55f0a589d275837d	371	SUPERFAMILY	SSF48179	6-phosphogluconate dehydrogenase C-terminal domain-like	178	287	6.57e-35	T	08-02-2023	IPR008927	6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily	HOMOLOGOUS_SUPERFAMILY	NaN
5865	NP_390142.1	fb094f9cbda6389b55f0a589d275837d	371	SUPERFAMILY	SSF55021	ACT-like	294	361	3.72e-08	T	08-02-2023	IPR045865	ACT-like domain	HOMOLOGOUS_SUPERFAMILY	NaN
5866	NP_390142.1	fb094f9cbda6389b55f0a589d275837d	371	Pfam	PF20463	Prephenate dehydrogenase, dimerization domain	178	278	2.3e-39	T	08-02-2023	IPR046825	Prephenate dehydrogenase, dimerization domain	DOMAIN	NaN
5867	NP_390142.1	fb094f9cbda6389b55f0a589d275837d	371	FunFam	G3DSA:3.40.50.720:FF:000208	Prephenate dehydrogenase	5	180	9.8e-66	T	08-02-2023	NaN	NaN	NaN	NaN
5868	NP_390142.1	fb094f9cbda6389b55f0a589d275837d	371	PANTHER	PTHR21363	PREPHENATE DEHYDROGENASE	1	347	2.7e-78	T	08-02-2023	NaN	NaN	NaN	NaN
5869	NP_390142.1	fb094f9cbda6389b55f0a589d275837d	371	Pfam	PF02153	Prephenate dehydrogenase, nucleotide-binding domain	20	175	3.2e-57	T	08-02-2023	IPR046826	Prephenate dehydrogenase, nucleotide-binding domain	DOMAIN	GO:0070403
5870	NP_390142.1	fb094f9cbda6389b55f0a589d275837d	371	CDD	cd04909	ACT_PDH-BS	298	367	5.97495e-29	T	08-02-2023	NaN	NaN	NaN	NaN
5871	NP_390142.1	fb094f9cbda6389b55f0a589d275837d	371	Pfam	PF01842	ACT domain	301	359	2.4e-09	T	08-02-2023	IPR002912	ACT domain	DOMAIN	NaN
5872	NP_390381.3	444c7eacad6cb45ef4e6274828e69f17	202	SUPERFAMILY	SSF54719	Fe,Mn superoxide dismutase (SOD), C-terminal domain	92	201	7.73e-49	T	08-02-2023	IPR036314	Manganese/iron superoxide dismutase, C-terminal domain superfamily	HOMOLOGOUS_SUPERFAMILY	NaN
5873	NP_390381.3	444c7eacad6cb45ef4e6274828e69f17	202	FunFam	G3DSA:1.10.287.990:FF:000001	Superoxide dismutase	20	90	4.7e-25	T	08-02-2023	NaN	NaN	NaN	NaN
5874	NP_390381.3	444c7eacad6cb45ef4e6274828e69f17	202	Pfam	PF02777	Iron/manganese superoxide dismutases, C-terminal domain	97	195	1.2e-42	T	08-02-2023	IPR019832	Manganese/iron superoxide dismutase, C-terminal	DOMAIN	GO:0004784
5874	NP_390381.3	444c7eacad6cb45ef4e6274828e69f17	202	Pfam	PF02777	Iron/manganese superoxide dismutases, C-terminal domain	97	195	1.2e-42	T	08-02-2023	IPR019832	Manganese/iron superoxide dismutase, C-terminal	DOMAIN	GO:0006801
5874	NP_390381.3	444c7eacad6cb45ef4e6274828e69f17	202	Pfam	PF02777	Iron/manganese superoxide dismutases, C-terminal domain	97	195	1.2e-42	T	08-02-2023	IPR019832	Manganese/iron superoxide dismutase, C-terminal	DOMAIN	GO:0046872
5875	NP_390381.3	444c7eacad6cb45ef4e6274828e69f17	202	SUPERFAMILY	SSF46609	Fe,Mn superoxide dismutase (SOD), N-terminal domain	1	91	3.14e-38	T	08-02-2023	IPR036324	Manganese/iron superoxide dismutase, N-terminal domain superfamily	HOMOLOGOUS_SUPERFAMILY	NaN
5876	NP_390381.3	444c7eacad6cb45ef4e6274828e69f17	202	FunFam	G3DSA:3.55.40.20:FF:000001	Superoxide dismutase	90	202	3.4e-54	T	08-02-2023	NaN	NaN	NaN	NaN
5877	NP_390381.3	444c7eacad6cb45ef4e6274828e69f17	202	PANTHER	PTHR43595	37S RIBOSOMAL PROTEIN S26, MITOCHONDRIAL	1	201	1.3999999999999999e-83	T	08-02-2023	NaN	NaN	NaN	NaN
5878	NP_390381.3	444c7eacad6cb45ef4e6274828e69f17	202	Pfam	PF00081	Iron/manganese superoxide dismutases, alpha-hairpin domain	3	90	1.2e-34	T	08-02-2023	IPR019831	Manganese/iron superoxide dismutase, N-terminal	DOMAIN	GO:0004784
5878	NP_390381.3	444c7eacad6cb45ef4e6274828e69f17	202	Pfam	PF00081	Iron/manganese superoxide dismutases, alpha-hairpin domain	3	90	1.2e-34	T	08-02-2023	IPR019831	Manganese/iron superoxide dismutase, N-terminal	DOMAIN	GO:0006801
5878	NP_390381.3	444c7eacad6cb45ef4e6274828e69f17	202	Pfam	PF00081	Iron/manganese superoxide dismutases, alpha-hairpin domain	3	90	1.2e-34	T	08-02-2023	IPR019831	Manganese/iron superoxide dismutase, N-terminal	DOMAIN	GO:0046872
5879	NP_390312.2	a4689a9b622a74948761d630fab6c323	131	PANTHER	PTHR11078	N UTILIZATION SUBSTANCE PROTEIN B-RELATED	40	128	7.799999999999999e-31	T	08-02-2023	IPR011605	NusB antitermination factor	FAMILY	GO:0006353
5880	NP_390312.2	a4689a9b622a74948761d630fab6c323	131	SUPERFAMILY	SSF48013	NusB-like	2	128	7.060000000000001e-43	T	08-02-2023	IPR035926	NusB-like superfamily	HOMOLOGOUS_SUPERFAMILY	NaN
5881	NP_390312.2	a4689a9b622a74948761d630fab6c323	131	Pfam	PF01029	NusB family	4	125	1.8e-41	T	08-02-2023	IPR006027	NusB/RsmB/TIM44	DOMAIN	GO:0003723
