id_protein	md5	seq_len	analysis	id_analysis	desc_analysis	start	stop	score	status	date	id_inter	desc_inter	id_go	type
NP_214725.1	04b2df5735042c65b402843180fd2db2	606	FunFam	G3DSA:3.40.449.10:FF:000005	Phosphoenolpyruvate carboxykinase [GTP]	62	252	4.5999999999999994e-105	T	08-02-2023	NaN	NaN	NaN	NaN
NP_214725.1	04b2df5735042c65b402843180fd2db2	606	CDD	cd00819	PEPCK_GTP	19	601	0.0	T	08-02-2023	IPR008209	Phosphoenolpyruvate carboxykinase, GTP-utilising	GO:0004611	FAMILY
NP_214725.1	04b2df5735042c65b402843180fd2db2	606	CDD	cd00819	PEPCK_GTP	19	601	0.0	T	08-02-2023	IPR008209	Phosphoenolpyruvate carboxykinase, GTP-utilising	GO:0005525	FAMILY
NP_214725.1	04b2df5735042c65b402843180fd2db2	606	CDD	cd00819	PEPCK_GTP	19	601	0.0	T	08-02-2023	IPR008209	Phosphoenolpyruvate carboxykinase, GTP-utilising	GO:0006094	FAMILY
NP_214725.1	04b2df5735042c65b402843180fd2db2	606	SUPERFAMILY	SSF68923	PEP carboxykinase N-terminal domain	12	244	3.4000000000000003e-100	T	08-02-2023	IPR008210	Phosphoenolpyruvate carboxykinase, N-terminal	GO:0004611	HOMOLOGOUS_SUPERFAMILY
NP_214725.1	04b2df5735042c65b402843180fd2db2	606	SUPERFAMILY	SSF68923	PEP carboxykinase N-terminal domain	12	244	3.4000000000000003e-100	T	08-02-2023	IPR008210	Phosphoenolpyruvate carboxykinase, N-terminal	GO:0006094	HOMOLOGOUS_SUPERFAMILY
NP_214725.1	04b2df5735042c65b402843180fd2db2	606	SUPERFAMILY	SSF68923	PEP carboxykinase N-terminal domain	12	244	3.4000000000000003e-100	T	08-02-2023	IPR008210	Phosphoenolpyruvate carboxykinase, N-terminal	GO:0017076	HOMOLOGOUS_SUPERFAMILY
NP_214725.1	04b2df5735042c65b402843180fd2db2	606	Pfam	PF00821	Phosphoenolpyruvate carboxykinase C-terminal P-loop domain	245	604	0.0	T	08-02-2023	IPR035077	Phosphoenolpyruvate carboxykinase, C-terminal P-loop domain	GO:0004611	DOMAIN
NP_214725.1	04b2df5735042c65b402843180fd2db2	606	Pfam	PF00821	Phosphoenolpyruvate carboxykinase C-terminal P-loop domain	245	604	0.0	T	08-02-2023	IPR035077	Phosphoenolpyruvate carboxykinase, C-terminal P-loop domain	GO:0006094	DOMAIN
NP_214725.1	04b2df5735042c65b402843180fd2db2	606	SUPERFAMILY	SSF53795	PEP carboxykinase-like	245	605	0.0	T	08-02-2023	NaN	NaN	NaN	NaN
NP_214725.1	04b2df5735042c65b402843180fd2db2	606	PANTHER	PTHR11561	PHOSPHOENOLPYRUVATE CARBOXYKINASE	14	605	0.0	T	08-02-2023	IPR008209	Phosphoenolpyruvate carboxykinase, GTP-utilising	GO:0004611	FAMILY
NP_214725.1	04b2df5735042c65b402843180fd2db2	606	PANTHER	PTHR11561	PHOSPHOENOLPYRUVATE CARBOXYKINASE	14	605	0.0	T	08-02-2023	IPR008209	Phosphoenolpyruvate carboxykinase, GTP-utilising	GO:0005525	FAMILY
NP_214725.1	04b2df5735042c65b402843180fd2db2	606	PANTHER	PTHR11561	PHOSPHOENOLPYRUVATE CARBOXYKINASE	14	605	0.0	T	08-02-2023	IPR008209	Phosphoenolpyruvate carboxykinase, GTP-utilising	GO:0006094	FAMILY
NP_218323.1	5cbbeac4d526ed9497a9c19db9429dbf	302	CDD	cd13963	PT_UbiA_2	17	295	6.06082e-91	T	08-02-2023	NaN	NaN	NaN	NaN
NP_218323.1	5cbbeac4d526ed9497a9c19db9429dbf	302	Pfam	PF01040	UbiA prenyltransferase family	39	267	6.7e-20	T	08-02-2023	IPR000537	UbiA prenyltransferase family	GO:0016020	FAMILY
NP_218323.1	5cbbeac4d526ed9497a9c19db9429dbf	302	Pfam	PF01040	UbiA prenyltransferase family	39	267	6.7e-20	T	08-02-2023	IPR000537	UbiA prenyltransferase family	GO:0016765	FAMILY
NP_218323.1	5cbbeac4d526ed9497a9c19db9429dbf	302	FunFam	G3DSA:1.10.357.140:FF:000017	Decaprenyl-phosphate phosphoribosyltransferase	27	171	5.5e-70	T	08-02-2023	NaN	NaN	NaN	NaN
YP_177924.1	4e902ae1f8ce65f8934fc308c0ae709f	437	FunFam	G3DSA:3.40.50.1820:FF:000241	LipY	205	430	0.0	T	08-02-2023	NaN	NaN	NaN	NaN
YP_177924.1	4e902ae1f8ce65f8934fc308c0ae709f	437	PANTHER	PTHR48081	AB HYDROLASE SUPERFAMILY PROTEIN C4A8.06C	213	418	7e-24	T	08-02-2023	NaN	NaN	NaN	NaN
YP_177924.1	4e902ae1f8ce65f8934fc308c0ae709f	437	Pfam	PF07859	alpha/beta hydrolase fold	235	416	6.3e-18	T	08-02-2023	IPR013094	Alpha/beta hydrolase fold-3	GO:0016787	DOMAIN
YP_177924.1	4e902ae1f8ce65f8934fc308c0ae709f	437	SUPERFAMILY	SSF53474	alpha/beta-Hydrolases	176	420	4.59e-29	T	08-02-2023	IPR029058	Alpha/Beta hydrolase fold	NaN	HOMOLOGOUS_SUPERFAMILY
YP_177924.1	4e902ae1f8ce65f8934fc308c0ae709f	437	Pfam	PF00934	PE family	5	95	9.1e-31	T	08-02-2023	IPR000084	PE-PGRS family, N-terminal	NaN	DOMAIN
YP_177924.1	4e902ae1f8ce65f8934fc308c0ae709f	437	SUPERFAMILY	SSF140459	PE/PPE dimer-like	9	85	4.4499999999999995e-24	T	08-02-2023	NaN	NaN	NaN	NaN
YP_177924.1	4e902ae1f8ce65f8934fc308c0ae709f	437	FunFam	G3DSA:1.10.287.850:FF:000001	PE_PGRS39	2	99	1.6000000000000001e-38	T	08-02-2023	NaN	NaN	NaN	NaN
NP_218105.1	957fcd057a471e42eb5470f393c4c29b	207	CDD	cd03378	beta_CA_cladeC	6	196	9.40584e-73	T	08-02-2023	NaN	NaN	NaN	NaN
NP_218105.1	957fcd057a471e42eb5470f393c4c29b	207	PANTHER	PTHR11002	CARBONIC ANHYDRASE	10	193	5.3e-31	T	08-02-2023	IPR001765	Carbonic anhydrase	GO:0004089	FAMILY
NP_218105.1	957fcd057a471e42eb5470f393c4c29b	207	PANTHER	PTHR11002	CARBONIC ANHYDRASE	10	193	5.3e-31	T	08-02-2023	IPR001765	Carbonic anhydrase	GO:0008270	FAMILY
NP_218105.1	957fcd057a471e42eb5470f393c4c29b	207	Pfam	PF00484	Carbonic anhydrase	46	193	1.2e-38	T	08-02-2023	IPR001765	Carbonic anhydrase	GO:0004089	FAMILY
NP_218105.1	957fcd057a471e42eb5470f393c4c29b	207	Pfam	PF00484	Carbonic anhydrase	46	193	1.2e-38	T	08-02-2023	IPR001765	Carbonic anhydrase	GO:0008270	FAMILY
NP_218105.1	957fcd057a471e42eb5470f393c4c29b	207	FunFam	G3DSA:3.40.1050.10:FF:000006	Carbonic anhydrase	1	200	3.6e-89	T	08-02-2023	NaN	NaN	NaN	NaN
NP_218105.1	957fcd057a471e42eb5470f393c4c29b	207	SUPERFAMILY	SSF53056	beta-carbonic anhydrase, cab	3	198	1.4399999999999997e-54	T	08-02-2023	IPR036874	Carbonic anhydrase superfamily	GO:0004089	HOMOLOGOUS_SUPERFAMILY
NP_218105.1	957fcd057a471e42eb5470f393c4c29b	207	SUPERFAMILY	SSF53056	beta-carbonic anhydrase, cab	3	198	1.4399999999999997e-54	T	08-02-2023	IPR036874	Carbonic anhydrase superfamily	GO:0008270	HOMOLOGOUS_SUPERFAMILY
NP_215091.1	dfe9228fbbba3b0f58a9c94379e9aaed	261	PANTHER	PTHR33993	GLYOXALASE-RELATED	5	258	4.7e-79	T	08-02-2023	NaN	NaN	NaN	NaN
NP_215091.1	dfe9228fbbba3b0f58a9c94379e9aaed	261	CDD	cd07247	SgaA_N_like	144	256	1.02871e-23	T	08-02-2023	NaN	NaN	NaN	NaN
NP_215091.1	dfe9228fbbba3b0f58a9c94379e9aaed	261	CDD	cd07247	SgaA_N_like	144	256	1.02871e-23	T	08-02-2023	NaN	NaN	NaN	NaN
NP_215091.1	dfe9228fbbba3b0f58a9c94379e9aaed	261	SUPERFAMILY	SSF54593	Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase	9	128	2.55e-22	T	08-02-2023	IPR029068	Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase	NaN	HOMOLOGOUS_SUPERFAMILY
NP_215091.1	dfe9228fbbba3b0f58a9c94379e9aaed	261	SUPERFAMILY	SSF54593	Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase	9	128	2.55e-22	T	08-02-2023	IPR029068	Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase	NaN	HOMOLOGOUS_SUPERFAMILY
NP_215091.1	dfe9228fbbba3b0f58a9c94379e9aaed	261	SUPERFAMILY	SSF54593	Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase	144	255	2.82e-21	T	08-02-2023	IPR029068	Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase	NaN	HOMOLOGOUS_SUPERFAMILY
NP_215091.1	dfe9228fbbba3b0f58a9c94379e9aaed	261	SUPERFAMILY	SSF54593	Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase	144	255	2.82e-21	T	08-02-2023	IPR029068	Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase	NaN	HOMOLOGOUS_SUPERFAMILY
NP_215091.1	dfe9228fbbba3b0f58a9c94379e9aaed	261	Pfam	PF18029	Glyoxalase-like domain	151	254	4.1e-12	T	08-02-2023	IPR041581	Glyoxalase-like domain, group 6	NaN	DOMAIN
NP_215091.1	dfe9228fbbba3b0f58a9c94379e9aaed	261	FunFam	G3DSA:3.10.180.10:FF:000043	27 kDa antigen Cfp30B	138	261	1e-84	T	08-02-2023	NaN	NaN	NaN	NaN
NP_215091.1	dfe9228fbbba3b0f58a9c94379e9aaed	261	CDD	cd07247	SgaA_N_like	12	128	2.15857e-29	T	08-02-2023	NaN	NaN	NaN	NaN
NP_215091.1	dfe9228fbbba3b0f58a9c94379e9aaed	261	CDD	cd07247	SgaA_N_like	12	128	2.15857e-29	T	08-02-2023	NaN	NaN	NaN	NaN
NP_215091.1	dfe9228fbbba3b0f58a9c94379e9aaed	261	Pfam	PF00903	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	13	123	5.9e-07	T	08-02-2023	IPR004360	Glyoxalase/fosfomycin resistance/dioxygenase domain	NaN	DOMAIN
NP_217602.1	bd68d670206cb79cf92ce2bc07148696	368	FunFam	G3DSA:3.40.50.720:FF:000482	Alcohol dehydrogenase D	172	311	1e-85	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217602.1	bd68d670206cb79cf92ce2bc07148696	368	SUPERFAMILY	SSF51735	NAD(P)-binding Rossmann-fold domains	157	332	2.68e-31	T	08-02-2023	IPR036291	NAD(P)-binding domain superfamily	NaN	HOMOLOGOUS_SUPERFAMILY
NP_217602.1	bd68d670206cb79cf92ce2bc07148696	368	Pfam	PF00107	Zinc-binding dehydrogenase	195	322	2e-22	T	08-02-2023	IPR013149	Alcohol dehydrogenase-like, C-terminal	NaN	DOMAIN
NP_217602.1	bd68d670206cb79cf92ce2bc07148696	368	Pfam	PF08240	Alcohol dehydrogenase GroES-like domain	27	153	1.4000000000000001e-28	T	08-02-2023	IPR013154	Alcohol dehydrogenase-like, N-terminal	NaN	DOMAIN
NP_217602.1	bd68d670206cb79cf92ce2bc07148696	368	SUPERFAMILY	SSF50129	GroES-like	320	367	1.18e-08	T	08-02-2023	IPR011032	GroES-like superfamily	NaN	HOMOLOGOUS_SUPERFAMILY
NP_217602.1	bd68d670206cb79cf92ce2bc07148696	368	SUPERFAMILY	SSF50129	GroES-like	320	367	1.18e-08	T	08-02-2023	IPR011032	GroES-like superfamily	NaN	HOMOLOGOUS_SUPERFAMILY
NP_217602.1	bd68d670206cb79cf92ce2bc07148696	368	PANTHER	PTHR43880	ALCOHOL DEHYDROGENASE	2	363	2.4000000000000003e-74	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217602.1	bd68d670206cb79cf92ce2bc07148696	368	CDD	cd08279	Zn_ADH_class_III	3	367	0.0	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217602.1	bd68d670206cb79cf92ce2bc07148696	368	SUPERFAMILY	SSF50129	GroES-like	1	191	6.54e-61	T	08-02-2023	IPR011032	GroES-like superfamily	NaN	HOMOLOGOUS_SUPERFAMILY
NP_217602.1	bd68d670206cb79cf92ce2bc07148696	368	SUPERFAMILY	SSF50129	GroES-like	1	191	6.54e-61	T	08-02-2023	IPR011032	GroES-like superfamily	NaN	HOMOLOGOUS_SUPERFAMILY
NP_216197.1	a6c3651c3b02617005f2c9c29cf19fbd	330	Pfam	PF04055	Radical SAM superfamily	87	217	8.7e-20	T	08-02-2023	IPR007197	Radical SAM	GO:0003824	DOMAIN
NP_216197.1	a6c3651c3b02617005f2c9c29cf19fbd	330	Pfam	PF04055	Radical SAM superfamily	87	217	8.7e-20	T	08-02-2023	IPR007197	Radical SAM	GO:0051536	DOMAIN
NP_216197.1	a6c3651c3b02617005f2c9c29cf19fbd	330	PANTHER	PTHR11228	RADICAL SAM DOMAIN PROTEIN	68	270	8.6e-41	T	08-02-2023	NaN	NaN	NaN	NaN
NP_216197.1	a6c3651c3b02617005f2c9c29cf19fbd	330	SUPERFAMILY	SSF102114	Radical SAM enzymes	74	244	1.83e-34	T	08-02-2023	NaN	NaN	NaN	NaN
NP_216197.1	a6c3651c3b02617005f2c9c29cf19fbd	330	CDD	cd01335	Radical_SAM	87	257	1.74209e-15	T	08-02-2023	NaN	NaN	NaN	NaN
NP_216197.1	a6c3651c3b02617005f2c9c29cf19fbd	330	Pfam	PF13353	4Fe-4S single cluster domain	75	162	4.5e-05	T	08-02-2023	NaN	NaN	NaN	NaN
NP_216721.2	8ba75048578ff3c24d5a6a776537cb72	358	FunFam	G3DSA:3.90.1510.10:FF:000002	Glycerate kinase	42	156	1.4e-73	T	08-02-2023	NaN	NaN	NaN	NaN
NP_216721.2	8ba75048578ff3c24d5a6a776537cb72	358	SUPERFAMILY	SSF110738	Glycerate kinase I	1	348	1.2700000000000001e-86	T	08-02-2023	IPR036129	Glycerate kinase superfamily	GO:0008887	HOMOLOGOUS_SUPERFAMILY
NP_216721.2	8ba75048578ff3c24d5a6a776537cb72	358	SUPERFAMILY	SSF110738	Glycerate kinase I	1	348	1.2700000000000001e-86	T	08-02-2023	IPR036129	Glycerate kinase superfamily	GO:0031388	HOMOLOGOUS_SUPERFAMILY
NP_216721.2	8ba75048578ff3c24d5a6a776537cb72	358	Pfam	PF02595	Glycerate kinase family	3	151	1.9e-41	T	08-02-2023	IPR004381	Glycerate kinase	GO:0008887	FAMILY
NP_216721.2	8ba75048578ff3c24d5a6a776537cb72	358	Pfam	PF02595	Glycerate kinase family	3	151	1.9e-41	T	08-02-2023	IPR004381	Glycerate kinase	GO:0031388	FAMILY
NP_216721.2	8ba75048578ff3c24d5a6a776537cb72	358	Pfam	PF02595	Glycerate kinase family	155	348	7.999999999999999e-53	T	08-02-2023	IPR004381	Glycerate kinase	GO:0008887	FAMILY
NP_216721.2	8ba75048578ff3c24d5a6a776537cb72	358	Pfam	PF02595	Glycerate kinase family	155	348	7.999999999999999e-53	T	08-02-2023	IPR004381	Glycerate kinase	GO:0031388	FAMILY
NP_216721.2	8ba75048578ff3c24d5a6a776537cb72	358	PANTHER	PTHR21599	GLYCERATE KINASE	156	349	7.2e-92	T	08-02-2023	IPR004381	Glycerate kinase	GO:0008887	FAMILY
NP_216721.2	8ba75048578ff3c24d5a6a776537cb72	358	PANTHER	PTHR21599	GLYCERATE KINASE	156	349	7.2e-92	T	08-02-2023	IPR004381	Glycerate kinase	GO:0031388	FAMILY
NP_215837.1	0f3d1cf75441268a7cb4d1bc37ce9ffd	226	Pfam	PF01939	Endonuclease NucS	1	226	5.799999999999999e-105	T	08-02-2023	IPR002793	Endonuclease NucS	GO:0004519	FAMILY
NP_215837.1	0f3d1cf75441268a7cb4d1bc37ce9ffd	226	CDD	cd22341	NucS-like	2	204	4.81294e-38	T	08-02-2023	IPR002793	Endonuclease NucS	GO:0004519	FAMILY
NP_215837.1	0f3d1cf75441268a7cb4d1bc37ce9ffd	226	PANTHER	PTHR38814	ENDONUCLEASE NUCS	4	222	1.8e-72	T	08-02-2023	IPR002793	Endonuclease NucS	GO:0004519	FAMILY
NP_216566.1	6a2b5a70f8f2b35f37fcdbc70c98eb89	111	FunFam	G3DSA:2.20.28.270:FF:000001	RNA polymerase-binding protein RbpA	1	79	2.6000000000000003e-44	T	08-02-2023	NaN	NaN	NaN	NaN
NP_216566.1	6a2b5a70f8f2b35f37fcdbc70c98eb89	111	Pfam	PF13397	RNA polymerase-binding protein	4	106	4.5e-40	T	08-02-2023	IPR025182	RNA polymerase-binding protein RbpA	GO:0001000	FAMILY
NP_216566.1	6a2b5a70f8f2b35f37fcdbc70c98eb89	111	Pfam	PF13397	RNA polymerase-binding protein	4	106	4.5e-40	T	08-02-2023	IPR025182	RNA polymerase-binding protein RbpA	GO:0045893	FAMILY
NP_215846.2	1d545c061e45cbc4cec7a0c938116b42	448	Pfam	PF17767	Nicotinate phosphoribosyltransferase (NAPRTase) N-terminal domain	22	144	6.4000000000000005e-27	T	08-02-2023	IPR040727	Nicotinate phosphoribosyltransferase, N-terminal domain	NaN	DOMAIN
NP_215846.2	1d545c061e45cbc4cec7a0c938116b42	448	PANTHER	PTHR11098	NICOTINATE PHOSPHORIBOSYLTRANSFERASE	13	389	2.6e-81	T	08-02-2023	IPR007229	Nicotinate phosphoribosyltransferase family	GO:0004516	FAMILY
NP_215846.2	1d545c061e45cbc4cec7a0c938116b42	448	SUPERFAMILY	SSF54675	Nicotinate/Quinolinate PRTase N-terminal domain-like	20	147	3.03e-37	T	08-02-2023	NaN	NaN	NaN	NaN
NP_215846.2	1d545c061e45cbc4cec7a0c938116b42	448	SUPERFAMILY	SSF51690	Nicotinate/Quinolinate PRTase C-terminal domain-like	149	442	8.540000000000001e-79	T	08-02-2023	IPR036068	Nicotinate phosphoribosyltransferase-like, C-terminal	GO:0009435	HOMOLOGOUS_SUPERFAMILY
NP_215846.2	1d545c061e45cbc4cec7a0c938116b42	448	FunFam	G3DSA:3.20.20.70:FF:000076	Nicotinate phosphoribosyltransferase	161	328	5.200000000000001e-57	T	08-02-2023	NaN	NaN	NaN	NaN
NP_215846.2	1d545c061e45cbc4cec7a0c938116b42	448	Pfam	PF01729	Quinolinate phosphoribosyl transferase, C-terminal domain	149	325	3.7e-06	T	08-02-2023	IPR002638	Quinolinate phosphoribosyl transferase, C-terminal	GO:0004514	DOMAIN
NP_215846.2	1d545c061e45cbc4cec7a0c938116b42	448	Pfam	PF01729	Quinolinate phosphoribosyl transferase, C-terminal domain	149	325	3.7e-06	T	08-02-2023	IPR002638	Quinolinate phosphoribosyl transferase, C-terminal	GO:0009435	DOMAIN
YP_007410673.1	4a1918113e9ce71dabda477c98d54af0	82	Pfam	PF01402	Ribbon-helix-helix protein, copG family	5	38	0.00029	T	08-02-2023	IPR002145	Ribbon-helix-helix protein, CopG	GO:0006355	DOMAIN
YP_007410673.1	4a1918113e9ce71dabda477c98d54af0	82	SUPERFAMILY	SSF47598	Ribbon-helix-helix	3	39	1.59e-05	T	08-02-2023	IPR010985	Ribbon-helix-helix	GO:0006355	HOMOLOGOUS_SUPERFAMILY
NP_215005.1	cb9a265483d23961f83e407b8323b778	227	Pfam	PF00486	Transcriptional regulatory protein, C terminal	150	225	6.5e-28	T	08-02-2023	IPR001867	OmpR/PhoB-type DNA-binding domain	GO:0000160	DOMAIN
NP_215005.1	cb9a265483d23961f83e407b8323b778	227	Pfam	PF00486	Transcriptional regulatory protein, C terminal	150	225	6.5e-28	T	08-02-2023	IPR001867	OmpR/PhoB-type DNA-binding domain	GO:0003677	DOMAIN
NP_215005.1	cb9a265483d23961f83e407b8323b778	227	Pfam	PF00486	Transcriptional regulatory protein, C terminal	150	225	6.5e-28	T	08-02-2023	IPR001867	OmpR/PhoB-type DNA-binding domain	GO:0006355	DOMAIN
NP_215005.1	cb9a265483d23961f83e407b8323b778	227	CDD	cd00383	trans_reg_C	136	225	1.22449e-37	T	08-02-2023	IPR001867	OmpR/PhoB-type DNA-binding domain	GO:0000160	DOMAIN
NP_215005.1	cb9a265483d23961f83e407b8323b778	227	CDD	cd00383	trans_reg_C	136	225	1.22449e-37	T	08-02-2023	IPR001867	OmpR/PhoB-type DNA-binding domain	GO:0003677	DOMAIN
NP_215005.1	cb9a265483d23961f83e407b8323b778	227	CDD	cd00383	trans_reg_C	136	225	1.22449e-37	T	08-02-2023	IPR001867	OmpR/PhoB-type DNA-binding domain	GO:0006355	DOMAIN
NP_215005.1	cb9a265483d23961f83e407b8323b778	227	FunFam	G3DSA:1.10.10.10:FF:000110	DNA-binding response regulator RegX3	121	226	1.2e-55	T	08-02-2023	NaN	NaN	NaN	NaN
NP_215005.1	cb9a265483d23961f83e407b8323b778	227	SUPERFAMILY	SSF52172	CheY-like	2	119	1.99e-39	T	08-02-2023	IPR011006	CheY-like superfamily	NaN	HOMOLOGOUS_SUPERFAMILY
NP_215005.1	cb9a265483d23961f83e407b8323b778	227	Pfam	PF00072	Response regulator receiver domain	4	113	2e-27	T	08-02-2023	IPR001789	Signal transduction response regulator, receiver domain	GO:0000160	DOMAIN
NP_215005.1	cb9a265483d23961f83e407b8323b778	227	CDD	cd17621	REC_OmpR_RegX3-like	4	102	5.4739200000000004e-61	T	08-02-2023	NaN	NaN	NaN	NaN
NP_215005.1	cb9a265483d23961f83e407b8323b778	227	SUPERFAMILY	SSF46894	C-terminal effector domain of the bipartite response regulators	124	226	1.62e-32	T	08-02-2023	IPR016032	Signal transduction response regulator, C-terminal effector	GO:0003677	HOMOLOGOUS_SUPERFAMILY
NP_215005.1	cb9a265483d23961f83e407b8323b778	227	SUPERFAMILY	SSF46894	C-terminal effector domain of the bipartite response regulators	124	226	1.62e-32	T	08-02-2023	IPR016032	Signal transduction response regulator, C-terminal effector	GO:0006355	HOMOLOGOUS_SUPERFAMILY
NP_215005.1	cb9a265483d23961f83e407b8323b778	227	FunFam	G3DSA:3.40.50.2300:FF:000001	DNA-binding response regulator PhoB	1	80	6.6e-26	T	08-02-2023	NaN	NaN	NaN	NaN
NP_215005.1	cb9a265483d23961f83e407b8323b778	227	PANTHER	PTHR48111	REGULATOR OF RPOS	1	225	1.7e-59	T	08-02-2023	IPR039420	Transcriptional regulatory protein WalR-like	NaN	FAMILY
NP_215939.1	4a3c03bd0ff54126fb0161c485cff9b3	325	Pfam	PF02650	WhiA C-terminal HTH domain	219	301	1.1e-20	T	08-02-2023	IPR023054	Sporulation regulator WhiA, C-terminal	NaN	DOMAIN
NP_215939.1	4a3c03bd0ff54126fb0161c485cff9b3	325	Pfam	PF14527	WhiA LAGLIDADG-like domain	125	216	7.999999999999999e-25	T	08-02-2023	IPR039518	WhiA, LAGLIDADG-like domain	NaN	DOMAIN
NP_215939.1	4a3c03bd0ff54126fb0161c485cff9b3	325	Pfam	PF10298	WhiA N-terminal LAGLIDADG-like domain	19	102	3.4000000000000003e-22	T	08-02-2023	IPR018478	Sporulation  transcription regulator WhiA, N-terminal domain	NaN	DOMAIN
NP_215939.1	4a3c03bd0ff54126fb0161c485cff9b3	325	PANTHER	PTHR37307	CELL DIVISION PROTEIN WHIA-RELATED	1	308	8.099999999999999e-105	T	08-02-2023	IPR003802	Sporulation regulator WhiA	GO:0043937	FAMILY
NP_215939.1	4a3c03bd0ff54126fb0161c485cff9b3	325	FunFam	G3DSA:3.10.28.10:FF:000001	Probable cell division protein WhiA	1	209	3.7999999999999996e-107	T	08-02-2023	NaN	NaN	NaN	NaN
NP_216238.1	8a9fb38c0f4ddf3e11b2431e5b8a93f1	494	SUPERFAMILY	SSF56059	Glutathione synthetase ATP-binding domain-like	127	353	1.94e-20	T	08-02-2023	NaN	NaN	NaN	NaN
NP_216548.1	9e2af16a0bb0cb4f235fc5f3326b7768	331	PANTHER	PTHR23026	NADPH NITROREDUCTASE	3	325	2.2999999999999997e-24	T	08-02-2023	NaN	NaN	NaN	NaN
NP_216548.1	9e2af16a0bb0cb4f235fc5f3326b7768	331	SUPERFAMILY	SSF55469	FMN-dependent nitroreductase-like	3	78	1.16e-08	T	08-02-2023	IPR000415	Nitroreductase-like	GO:0016491	HOMOLOGOUS_SUPERFAMILY
NP_216548.1	9e2af16a0bb0cb4f235fc5f3326b7768	331	SUPERFAMILY	SSF55469	FMN-dependent nitroreductase-like	3	78	1.16e-08	T	08-02-2023	IPR000415	Nitroreductase-like	GO:0016491	HOMOLOGOUS_SUPERFAMILY
NP_216548.1	9e2af16a0bb0cb4f235fc5f3326b7768	331	SUPERFAMILY	SSF55469	FMN-dependent nitroreductase-like	116	325	9.42e-10	T	08-02-2023	IPR000415	Nitroreductase-like	GO:0016491	HOMOLOGOUS_SUPERFAMILY
NP_216548.1	9e2af16a0bb0cb4f235fc5f3326b7768	331	SUPERFAMILY	SSF55469	FMN-dependent nitroreductase-like	116	325	9.42e-10	T	08-02-2023	IPR000415	Nitroreductase-like	GO:0016491	HOMOLOGOUS_SUPERFAMILY
NP_217058.1	80afefae1a7778202996901e51778f38	403	Pfam	PF06259	Alpha/beta hydrolase	169	349	1.3e-76	T	08-02-2023	IPR010427	Protein of unknown function DUF1023	NaN	FAMILY
NP_217058.1	80afefae1a7778202996901e51778f38	403	SUPERFAMILY	SSF53474	alpha/beta-Hydrolases	232	341	1.36e-07	T	08-02-2023	IPR029058	Alpha/Beta hydrolase fold	NaN	HOMOLOGOUS_SUPERFAMILY
NP_216726.1	54c78a0056cfc881392b20daa239c47d	368	CDD	cd01557	BCAT_beta_family	62	355	0.0	T	08-02-2023	IPR033939	Branched-chain aminotransferase	GO:0004084	FAMILY
NP_216726.1	54c78a0056cfc881392b20daa239c47d	368	CDD	cd01557	BCAT_beta_family	62	355	0.0	T	08-02-2023	IPR033939	Branched-chain aminotransferase	GO:0009081	FAMILY
NP_216726.1	54c78a0056cfc881392b20daa239c47d	368	Pfam	PF01063	Amino-transferase class IV	76	323	1.7000000000000002e-32	T	08-02-2023	IPR001544	Aminotransferase class IV	GO:0003824	FAMILY
NP_216726.1	54c78a0056cfc881392b20daa239c47d	368	PANTHER	PTHR11825	SUBGROUP IIII AMINOTRANSFERASE	14	365	1.3e-115	T	08-02-2023	IPR005786	Branched-chain amino acid aminotransferase II	GO:0004084	FAMILY
NP_216726.1	54c78a0056cfc881392b20daa239c47d	368	PANTHER	PTHR11825	SUBGROUP IIII AMINOTRANSFERASE	14	365	1.3e-115	T	08-02-2023	IPR005786	Branched-chain amino acid aminotransferase II	GO:0009081	FAMILY
NP_216726.1	54c78a0056cfc881392b20daa239c47d	368	SUPERFAMILY	SSF56752	D-aminoacid aminotransferase-like PLP-dependent enzymes	4	364	3.14e-112	T	08-02-2023	IPR036038	Aminotransferase-like, PLP-dependent enzymes	GO:0003824	HOMOLOGOUS_SUPERFAMILY
NP_216726.1	54c78a0056cfc881392b20daa239c47d	368	FunFam	G3DSA:3.20.10.10:FF:000009	Branched-chain-amino-acid aminotransferase	178	350	3.3e-112	T	08-02-2023	NaN	NaN	NaN	NaN
NP_216672.1	7606856c259b791fa04eaea176094419	359	Pfam	PF10555	Phospho-N-acetylmuramoyl-pentapeptide-transferase signature 1	46	58	1.8e-05	T	08-02-2023	IPR018480	Phospho-N-acetylmuramoyl-pentapeptide transferase, conserved site	NaN	CONSERVED_SITE
